crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
63.304,41.9,53.437,61.064,104,29,5,12.5,2,41.4,6,3
63.304,41.9,53.437,61.064,104,29,5,12.5,2,41.4,6,3
63.304,41.9,53.437,61.064,133,29,5,12.5,2,41.4,6,3
70.291,0,35.547,0,214,26,4,12.5,1,38.6,11,2
21.244,20,9.435,0,36,16,2,12,5,24.5,5,1
21.244,20,9.435,0,36,16,2,12,5,24.5,5,1
21.244,20,9.435,0,36,16,2,12,5,24.5,5,1
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
74.812,64.5,33.28,3.587,84,21,3,12.5,4,44.3,10,0
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,60,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,60,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,60,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,85,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,97,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,109,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,85,27,4,12,0,48.4,9,2
142.507,123.8,83.135,8.414,60,27,4,12,0,48.4,9,2
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,120,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,120,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,120,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,115,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,60,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,85,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,150,22,3,12.5,3,20.5,5,3
147.442,117.1,78.559,5.218,120,22,3,12.5,3,20.5,5,3
91.401,69.2,49.313,4.915,85,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,85,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,102,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
91.401,69.2,49.313,4.915,60,24,5,12.5,2,73.5,11,6
40.695,42,20.553,2.518,105,19,3,12,5,51.4,4,18
40.695,42,20.553,2.518,108,19,3,12,5,51.4,4,18
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,77,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
504.698,302.1,353.089,0,84,29,5,12,0,37,10,6
65.079,54,36.256,2.962,130,19,3,12,4,65.5,8,4
65.079,54,36.256,2.962,130,19,3,12,4,65.5,8,4
65.079,54,36.256,2.962,130,19,3,12,4,65.5,8,4
65.079,54,36.256,2.962,84,19,3,12,4,65.5,8,4
65.079,54,36.256,2.962,84,19,3,12,4,65.5,8,4
65.079,54,36.256,2.962,130,19,3,12,4,65.5,8,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,121,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,135,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
